order	family	genus	id	position	name	accession	tech	length	single	duplicate	fragmented	missing	sum	category
Lepidoptera	Nymphalidae	Heliconius	71	514	Heliconius_melpomene_amandus	GCA_900068495.1	none	274242794	56.9	0.5	26.3	16.3	100	A
Lepidoptera	Nymphalidae	Heliconius	47	513	Heliconius_hierax	GCA_900068475.1	none	210868349	28.7	0.1	31.2	40	100	A
Lepidoptera	Nymphalidae	Heliconius	48	512	Heliconius_hecuba_flava	GCA_900068455.1	none	212767244	31.7	0.1	32.3	35.9	100	A
Lepidoptera	Nymphalidae	Heliconius	80	511	Heliconius_hecale	GCA_900068425.1	none	295736468	63.7	0.5	22.3	13.5	100	A
Lepidoptera	Nymphalidae	Heliconius	95	510	Heliconius_elevatus	GCA_900068385.1	none	362124033	49.5	0.4	30.4	19.7	100	A
Lepidoptera	Nymphalidae	Heliconius	96	509	Heliconius_elevatus_bari	GCA_900068365.1	none	364783738	60	1	24.8	14.2	100	A
Lepidoptera	Nymphalidae	Heliconius	65	508	Heliconius_cydno_zelinde	GCA_900068315.1	none	264760125	52.8	0.1	28.7	18.4	100	A
Lepidoptera	Nymphalidae	Heliconius	43	507	Heliconius_cydno_weymeri	GCA_900068305.1	none	146293788	24.8	0.2	29.1	45.9	100	A
Lepidoptera	Nymphalidae	Heliconius	62	506	Heliconius_cydno_cydnides	GCA_900068275.1	none	256832856	56.8	0.4	26	16.8	100	A
Lepidoptera	Nymphalidae	Heliconius	75	505	Heliconius_cydno_alithea	GCA_900068235.1	none	282335894	66.9	0.5	20.5	12.1	100	A
Lepidoptera	Nymphalidae	Heliconius	82	504	Heliconius_cydno_chioneus	GCA_900068205.1	none	306385191	47.3	0.1	29.4	23.2	100	A
Lepidoptera	Nymphalidae	Heliconius	100	503	Heliconius_pardalinus	GCA_900068005.1	none	381577504	58.2	1.3	25.8	14.7	100	A
Lepidoptera	Nymphalidae	Heliconius	83	502	Heliconius_heurippa	GCA_900067975.1	none	309419125	71.2	0.9	17.7	10.2	100	A
Lepidoptera	Nymphalidae	Heliconius	105	501	Heliconius_himera	GCA_013421065.1	short	399744062	95.1	0.6	1.7	2.6	100	A
Lepidoptera	Nymphalidae	Heliconius	102	500	Heliconius_hermathena	GCA_013403705.1	short	391646345	97.1	0.1	1.5	1.3	100	A
Lepidoptera	Nymphalidae	Heliconius	70	499	Heliconius_nattereri	GCA_013403645.1	short	275868317	98.6	0.3	0.3	0.8	100	A
Lepidoptera	Nymphalidae	Heliconius	44	498	Heliconius_melpomene_malleti	GCA_001510935.1	none	157189997	6.8	1.6	6.4	85.2	100	A
Lepidoptera	Nymphalidae	Heliconius	39	497	Heliconius_numata_tarapotensis	GCA_001486745.1	none	7865038	4.1	0.1	3.4	92.4	100	A
Lepidoptera	Nymphalidae	Heliconius	72	496	Heliconius_pardalinus_sergestus	GCA_001486625.1	none	277374261	74.5	0.4	15.9	9.2	100	A
Lepidoptera	Nymphalidae	Heliconius	38	495	Heliconius_timareta	GCA_001486405.1	none	7449788	5.3	0.1	3.3	91.3	100	A
Lepidoptera	Nymphalidae	Heliconius	41	494	Heliconius_timareta_timareta	GCA_001486365.1	none	8453332	6.4	0	3.1	90.5	100	A
Lepidoptera	Nymphalidae	Heliconius	42	493	Heliconius_numata_silvana	GCA_001486245.1	none	12807014	4.5	0.1	4.5	90.9	100	A
Lepidoptera	Nymphalidae	Heliconius	78	492	Heliconius_melpomene_aglaope	GCA_001486105.1	none	290420786	75.2	0.5	15.8	8.5	100	A
Lepidoptera	Nymphalidae	Heliconius	76	491	Heliconius_ethilla_aerotome	GCA_001485985.1	none	282526854	77.5	0.7	13.3	8.5	100	A
Lepidoptera	Nymphalidae	Heliconius	63	490	Heliconius_ismenius	GCA_001485965.1	none	259837422	78.9	0.4	13.3	7.4	100	A
Lepidoptera	Nymphalidae	Heliconius	68	489	Heliconius_ethilla	GCA_001485905.1	none	266946155	74.5	0.4	15.1	10	100	A
Lepidoptera	Nymphalidae	Heliconius	40	488	Heliconius_ismenius_metaphorus	GCA_001485725.1	none	8082514	5.8	0.1	3.4	90.7	100	A
Lepidoptera	Nymphalidae	Heliconius	73	487	Heliconius_melpomene_melpomene	GCA_000313835.2	none	273786188	95.2	0.4	1.7	2.7	100	A
Lepidoptera	Nymphalidae	Danaus	92	486	Danaus_melanippus	GCA_010014825.1	short	354197052	86.2	0.7	7.9	5.2	100	A
Lepidoptera	Nymphalidae	Danaus	61	485	Danaus_plexippus_plexippus	GCA_009731565.1	short	248676414	96.2	1.6	1.2	1	100	A
Lepidoptera	Nymphalidae	Danaus	86	484	Danaus_chrysippus	GCA_004959915.1	short	322399471	92.9	0.9	1.1	5.1	100	A
Lepidoptera	Nymphalidae	Bicyclus	126	483	Bicyclus_anynana	GCA_900239965.1	none	475399557	97.1	0.7	1	1.2	100	A
Lepidoptera	Nymphalidae	Aphantopus	109	482	Aphantopus_hyperantus	GCA_902806685.1	none	408137179	97.3	0.9	0.4	1.4	100	A
Lepidoptera	Nymphalidae	Agraulis	101	481	Agraulis_vanillae_vanillae	GCA_013421085.1	short	390746361	93.6	1.7	2.1	2.6	100	A
Lepidoptera	Noctuidae	Trichoplusia	98	480	Trichoplusia_ni	GCA_003590095.1	long	368211209	93.1	4.6	0.4	1.9	100	A
Lepidoptera	Noctuidae	Spodoptera	117	479	Spodoptera_exigua	GCA_011316535.1	long	446801326	95.9	1.7	0.2	2.2	100	A
Lepidoptera	Noctuidae	Spodoptera	127	478	Spodoptera_frugiperda	GCA_011064685.1	long	486271792	90.1	2.4	1.3	6.2	100	A
Lepidoptera	Noctuidae	Spodoptera	114	477	Spodoptera_litura	GCA_002706865.2	short	438940887	97.6	0.8	0.4	1.2	100	A
Lepidoptera	Noctuidae	Mamestra	135	476	Mamestra_configurata	GCA_002192655.2	short	571307853	88.6	0.9	6.2	4.3	100	A
Lepidoptera	Noctuidae	Heliothis	111	475	Heliothis_virescens	GCA_002382865.1	long	403154403	86.8	2.6	2.2	8.4	100	A
Lepidoptera	Noctuidae	Helicoverpa	90	474	Helicoverpa_armigera	GCA_002156985.1	short	337072206	97	0.4	1.3	1.3	100	A
Lepidoptera	Noctuidae	Helicoverpa	91	473	Helicoverpa_zea	GCA_002150865.1	short	341147348	95.7	1	1	2.3	100	A
Lepidoptera	Noctuidae	Busseola	128	472	Busseola_fusca	GCA_007844875.1	short	492902852	69	0.4	18.5	12.1	100	A
Lepidoptera	Noctuidae	Agrotis	129	471	Agrotis_ipsilon	GCA_004193855.1	short	486925161	97.1	0.8	0.5	1.6	100	A
Lepidoptera	Lymantriidae	Lymantria	152	470	Lymantria_dispar_dispar	GCA_004115105.1	short	864963299	89.8	0.5	4.3	5.4	100	A
Lepidoptera	Lycaenidae	Calycopis	146	469	Calycopis_cecrops	GCA_001625245.1	short	728788927	92.9	1.7	2.6	2.8	100	A
Lepidoptera	Lasiocampidae	Dendrolimus	138	468	Dendrolimus_punctatus	GCA_012273795.1	long	614070971	94.1	2.3	1.2	2.4	100	A
Lepidoptera	Hesperiidae	Megathymus	113	467	Megathymus_ursus_violae	GCA_003671415.1	short	429427782	98.3	0.2	0.4	1.1	100	A
Lepidoptera	Hesperiidae	Lerema	81	466	Lerema_accius	GCA_001278395.1	short	298169737	95.3	0.4	2.3	2	100	A
Lepidoptera	Hesperiidae	Epargyreus	112	465	Epargyreus_clarus_clarus	GCA_014595695.1	long	426663811	78.1	8.1	1.5	12.3	100	A
Lepidoptera	Hesperiidae	Cecropterus	134	464	Cecropterus_lyciades	GCA_002930495.1	short	566818879	96.5	0.4	1.3	1.8	100	A
Lepidoptera	Gracillariidae	Conopomorpha	131	463	Conopomorpha_cramerella	GCA_012932125.1	short	497288140	63.7	9.1	13.4	13.8	100	A
Lepidoptera	Geometridae	Operophtera	139	462	Operophtera_brumata	GCA_001266575.1	short	638207720	92	2.5	2.8	2.7	100	A
Lepidoptera	Gelechiidae	Tuta	154	461	Tuta_absoluta	GCA_004799115.1	short	906539853	63.1	27.8	4.5	4.6	100	A
Lepidoptera	Erebidae	Hyphantria	132	460	Hyphantria_cunea	GCA_003709505.1	short	510511702	97	0.7	0.7	1.6	100	A
Lepidoptera	Erebidae	Arctia	136	459	Arctia_plantaginis	GCA_902825455.1	none	577993050	95.1	0.7	0.4	3.8	100	A
Lepidoptera	Crambidae	Ostrinia	121	458	Ostrinia_nubilalis	GCA_008921685.1	short	454916002	91.1	1.1	3.5	4.3	100	A
Lepidoptera	Crambidae	Ostrinia	115	457	Ostrinia_furnacalis	GCA_004193835.1	short	437279933	96.9	1	0.6	1.5	100	A
Lepidoptera	Crambidae	Diatraea	120	456	Diatraea_saccharalis	GCA_014843785.1	short	453235217	86.5	0.4	8.8	4.3	100	A
Lepidoptera	Crambidae	Cnaphalocrocis	133	455	Cnaphalocrocis_medinalis	GCA_014851415.1	long	528450314	92.1	2.7	1.3	3.9	100	A
Lepidoptera	Crambidae	Chilo	150	454	Chilo_suppressalis	GCA_004000445.1	long	824354176	94.5	1.9	1.2	2.4	100	A
Lepidoptera	Cosmopterigidae	Hyposmocoma	147	453	Hyposmocoma_kahamanoa	GCA_003589595.1	short	731440758	91.9	1	2.4	4.7	100	A
Lepidoptera	Carposinidae	Carposina	106	452	Carposina_sasakii	GCA_014607495.2	long	399040036	96.9	0.8	0.4	1.9	100	A
Lepidoptera	Bombycidae	Bombyx	122	451	Bombyx_mori	GCA_014905235.1	none	460334017	97.7	1	0.1	1.2	100	A
Lepidoptera	Bombycidae	Bombyx	107	450	Bombyx_mandarina	GCA_003987935.1	short	398573003	93.9	0.6	0.3	5.2	100	A
Lepidoptera	Bombycidae	Bombyx	118	449	Bombyx_huttoni	GCA_002197625.1	short	450338996	39.9	0.2	32.5	27.4	100	A
Lepidoptera	Adelidae	Adela	153	448	Adela_reaumurella	GCA_009867175.1	short	874161216	45.6	0.6	33.3	20.5	100	A
Hymenoptera	Vespidae	Vespula	166	447	Vespula_germanica	GCA_014466195.1	short	178197338	98	0	0.9	1.1	100	B
Hymenoptera	Vespidae	Vespula	167	446	Vespula_vulgaris	GCA_014466185.1	short	176272557	98.7	0.1	0.4	0.8	100	B
Hymenoptera	Vespidae	Vespula	168	445	Vespula_pensylvanica	GCA_014466175.1	short	179370016	99.5	0.1	0	0.4	100	B
Hymenoptera	Vespidae	Vespa	219	444	Vespa_mandarinia	GCA_014083535.1	long	247710421	98.9	0.4	0	0.7	100	B
Hymenoptera	Vespidae	Polistes	188	443	Polistes_fuscatus	GCA_010416935.1	long	219116742	98.4	0.7	0.3	0.6	100	B
Hymenoptera	Vespidae	Polistes	189	442	Polistes_metricus	GCA_010416925.1	long	219838961	98.4	1.1	0	0.5	100	B
Hymenoptera	Vespidae	Polistes	181	441	Polistes_dorsalis	GCA_010416905.1	short	209288276	98.9	0.4	0	0.7	100	B
Hymenoptera	Vespidae	Polistes	182	440	Polistes_dominula	GCA_001465965.1	short	208026220	98.8	0.4	0.1	0.7	100	B
Hymenoptera	Vespidae	Polistes	183	439	Polistes_canadensis	GCA_001313835.1	short	211202212	98.7	0.4	0.2	0.7	100	B
Hymenoptera	Trichogrammatidae	Trichogramma	206	438	Trichogramma_brassicae	GCA_902806795.1	none	235386796	93.2	2.7	1	3.1	100	B
Hymenoptera	Trichogrammatidae	Trichogramma	186	437	Trichogramma_evanescens	GCA_902732785.1	none	213671129	93.9	3.3	1	1.8	100	B
Hymenoptera	Trichogrammatidae	Trichogramma	170	436	Trichogramma_pretiosum	GCA_000599845.3	short	187641947	95.5	2.6	0.2	1.7	100	B
Hymenoptera	Torymidae	Torymus	290	435	Torymus_geranii	GCA_900474355.1	none	363976237	83.6	0.9	9.7	5.8	100	B
Hymenoptera	Torymidae	Torymus	300	434	Torymus_auratus	GCA_900474315.1	none	410910949	91.7	1.7	3.3	3.3	100	B
Hymenoptera	Tenthredinidae	Athalia	161	433	Athalia_rosae	GCA_000344095.2	short	155841210	99.5	0.2	0	0.3	100	B
Hymenoptera	Pteromalidae	Trichomalopsis	207	432	Trichomalopsis_sarcophagae	GCA_002249905.1	short	236426377	96.7	0.9	1	1.4	100	B
Hymenoptera	Pteromalidae	Pteromalus	284	431	Pteromalus_puparum	GCA_012977825.2	long	338170873	96.9	1	0.6	1.5	100	B
Hymenoptera	Pteromalidae	Nasonia	263	430	Nasonia_vitripennis	GCA_009193385.2	long	297309692	97.4	0.7	0.5	1.4	100	B
Hymenoptera	Pteromalidae	Nasonia	258	429	Nasonia_longicornis	GCA_000004795.1	short	285726340	94.2	0.8	1.8	3.2	100	B
Hymenoptera	Pteromalidae	Nasonia	251	428	Nasonia_giraulti	GCA_000004775.1	short	283606953	94.4	0.7	1.7	3.2	100	B
Hymenoptera	Pteromalidae	Cecidostiba	171	427	Cecidostiba_fungosa	GCA_900474305.1	none	185537488	93	1.1	0.5	5.4	100	B
Hymenoptera	Pteromalidae	Cecidostiba	257	426	Cecidostiba_semifascia	GCA_900474235.1	none	287222439	92	1	3.4	3.6	100	B
Hymenoptera	Orussidae	Orussus	172	425	Orussus_abietinus	GCA_000612105.2	short	186398216	98	0.4	0.7	0.9	100	B
Hymenoptera	Ormyridae	Ormyrus	240	424	Ormyrus_pomaceus	GCA_900474385.1	none	266814119	94.9	1.2	1.8	2.1	100	B
Hymenoptera	Ormyridae	Ormyrus	232	423	Ormyrus_nitidulus	GCA_900474335.1	none	259885974	94.3	1.4	2	2.3	100	B
Hymenoptera	Megastigmidae	Megastigmus	307	422	Megastigmus_dorsalis	GCA_900490025.1	none	589959111	92.8	2.4	2	2.8	100	B
Hymenoptera	Megastigmidae	Megastigmus	306	421	Megastigmus_stigmatizans	GCA_900490015.1	none	577887951	92.3	2.3	2.5	2.9	100	B
Hymenoptera	Megachilidae	Osmia	169	420	Osmia_lignaria	GCA_012274295.1	long	177071571	98.9	0.1	0.3	0.7	100	B
Hymenoptera	Megachilidae	Osmia	184	419	Osmia_bicornis_bicornis	GCA_004153925.1	short	210591136	99	0.4	0.1	0.5	100	B
Hymenoptera	Megachilidae	Megachile	244	418	Megachile_rotundata	GCA_000220905.1	short	272660569	99.6	0.1	0	0.3	100	B
Hymenoptera	Ichneumonidae	Diadromus	174	417	Diadromus_collaris	GCA_009394715.1	short	188922525	32.6	0.1	45	22.3	100	B
Hymenoptera	Ichneumonidae	Diadegma	165	416	Diadegma_semiclausum	GCA_011421695.1	short	168496476	34.9	0.4	37.5	27.2	100	B
Hymenoptera	Ichneumonidae	Campoletis	233	415	Campoletis_sonorensis	GCA_013761285.1	short	256042896	94.8	4.1	0.4	0.7	100	B
Hymenoptera	Halictidae	Nomia	277	414	Nomia_melanderi	GCA_003710045.1	short	325881203	98.8	0.2	0.4	0.6	100	B
Hymenoptera	Halictidae	Megalopta	297	413	Megalopta_genalis	GCA_011865705.1	short	390114368	95.5	1.8	0.2	2.5	100	B
Hymenoptera	Halictidae	Lasioglossum	285	412	Lasioglossum_albipes	GCA_000346575.1	short	336521443	96.7	1.7	0.9	0.7	100	B
Hymenoptera	Halictidae	Dufourea	252	411	Dufourea_novaeangliae	GCA_001272555.1	short	279505983	98.8	0.3	0.4	0.5	100	B
Hymenoptera	Formicidae	Wasmannia	280	410	Wasmannia_auropunctata	GCA_000956235.1	short	324120201	97.9	0.5	0.7	0.9	100	B
